0.75,1.63
0.81,1.62
0.86,1.62
0.92,1.62
0.98,1.63
1.03,1.65
1.07,1.68
1.12,1.71
1.16,1.75
1.20,1.79
1.23,1.83
1.27,1.87
1.30,1.91
1.34,1.95
1.37,2.00
1.41,2.04
1.44,2.08
1.48,2.12
1.51,2.17
1.55,2.21
1.58,2.25
1.62,2.29
1.66,2.32
1.71,2.34
1.76,2.36
1.82,2.37
1.87,2.37
1.93,2.36
1.98,2.35
2.03,2.32
2.08,2.29
2.12,2.25
2.15,2.20
2.21,2.12
2.24,2.08
2.27,2.03
2.30,1.98
2.33,1.93
2.36,1.88
2.39,1.83
2.42,1.78
2.45,1.73
2.48,1.68
2.51,1.63
2.53,1.58
2.54,1.53
2.55,1.47
2.55,1.41
2.54,1.32
2.53,1.27
2.53,1.21
2.52,1.15
2.51,1.10
2.49,1.05
2.47,1.00
2.44,0.95
2.40,0.91
2.35,0.87
2.30,0.84
2.25,0.82
2.18,0.80
2.13,0.79
2.08,0.77
2.03,0.74
1.98,0.71
1.94,0.67
1.90,0.63
1.87,0.58
1.84,0.53
1.82,0.47
1.81,0.42
1.80,0.36
1.79,0.30
1.79,0.25
1.79,0.19
1.78,0.13
1.78,0.07
1.79,0.02
1.80,-0.04
1.83,-0.09
1.85,-0.14
1.89,-0.19
1.92,-0.23
1.95,-0.27
2.00,-0.33
2.03,-0.37
2.07,-0.42
2.10,-0.46
2.14,-0.50
2.17,-0.55
2.21,-0.59
2.24,-0.64
2.28,-0.68
2.32,-0.72
2.35,-0.76
